player,dismissal,runs,balls,minutes,4s,6s,strike_rate
Heinrich Klaasen,c,29,27,40,3,0,107.4
David Miller,b,17,13,35,1,1,130.76
Marco Jansen,c,26,22,25,3,1,118.18
Kagiso Rabada,not,0,1,4,0,0,0
Keshav Maharaj,not,0,2,1,0,0,0
Devon Conway,lbw,20,18,27,3,0,111.11
Will Young,c,54,64,98,4,3,84.37
Rachin Ravindra,b,32,41,64,2,1,78.04
Daryl Mitchell,c,1,7,6,0,0,14.28
Tom Latham,b,68,74,114,3,2,91.89
Glenn Phillips,c,71,80,109,4,4,88.75
Mark Chapman,not,25,12,15,2,1,208.33
Mitchell Santner,not,7,5,13,1,0,140
Pathum Nissanka,c,46,60,82,5,0,76.66
Dimuth Karunaratne,lbw,15,21,25,1,0,71.42
Kusal Mendis,c,39,50,91,3,0,78
Sadeera Samarawickrama,lbw,36,40,42,3,0,90
Charith Asalanka,c,22,28,48,2,0,78.57
Dhananjaya de Silva,b,14,26,24,1,0,53.84
Angelo Mathews,c,23,26,61,1,1,88.46
Dushmantha Chameera,run,1,4,5,0,0,25
Maheesh Theekshana,b,29,31,31,3,1,93.54
Kasun Rajitha,run,5,7,14,0,0,71.42
Dilshan Madushanka,not,0,4,5,0,0,0
Rohit Sharma,c,40,24,32,6,2,166.66
Shubman Gill,b,23,24,54,4,1,95.83
Virat Kohli,not,101,121,195,10,0,83.47
Shreyas Iyer,c,77,87,101,7,2,88.5
KL Rahul,c,8,17,29,0,0,47.05
Suryakumar Yadav,c,22,14,19,5,0,157.14
Ravindra Jadeja,not,29,15,21,3,1,193.33
David Warner,c,163,124,180,14,9,131.45
Mitchell Marsh,c,121,108,139,10,9,112.03
Glenn Maxwell,c,0,1,1,0,0,0
Steven Smith,c,7,9,17,0,0,77.77
Marcus Stoinis,lbw,21,24,46,1,1,87.5
Josh Inglis,c,13,9,10,3,0,144.44
Marnus Labuschagne,c,8,12,23,1,0,66.66
Pat Cummins,not,6,8,17,0,0,75
Mitchell Starc,c,2,3,3,0,0,66.66
Josh Hazlewood,c,0,1,1,0,0,0
Adam Zampa,not,1,1,4,0,0,100
Jonny Bairstow,c,15,17,29,2,0,88.23
Dawid Malan,run,87,74,92,10,2,117.56
Joe Root,b,28,35,53,1,0,80
Ben Stokes,c,108,84,136,6,6,128.57
Harry Brook,c,11,16,19,2,0,68.75
Jos Buttler,c,5,11,12,0,0,45.45
Moeen Ali,c,4,15,20,0,0,26.66
Chris Woakes,c,51,45,66,5,1,113.33
David Willey,c,6,2,1,0,1,300
Gus Atkinson,not,2,1,7,0,0,200
Adil Rashid,not,1,1,3,0,0,100
Tanzid Hasan,lbw,0,5,7,0,0,0
Litton Das,c,45,64,100,6,0,70.31
Najmul Hossain Shanto,c,4,3,8,1,0,133.33
Mushfiqur Rahim,c,5,8,18,1,0,62.5
Mahmudullah,b,56,70,108,6,1,80
Shakib Al Hasan,c,43,64,82,4,0,67.18
Towhid Hridoy,c,7,3,9,0,1,233.33
Mehidy Hasan Miraz,b,25,30,50,1,1,83.33
Taskin Ahmed,b,6,13,20,0,0,46.15
Mustafizur Rahman,b,3,7,11,0,0,42.85
Shoriful Islam,not,1,4,8,0,0,25
Pathum Nissanka,c,51,61,79,7,1,83.6
Kusal Perera,c,0,4,7,0,0,0
Kusal Mendis,c,122,77,124,14,6,158.44
Sadeera Samarawickrama,c,108,89,139,11,2,121.34
Charith Asalanka,c,1,3,5,0,0,33.33
Dhananjaya de Silva,c,25,34,47,3,0,73.52
Dasun Shanaka,c,12,18,23,0,0,66.66
Dunith Wellalage,c,10,8,18,1,0,125
Maheesh Theekshana,b,0,4,6,0,0,0
Matheesha Pathirana,not,1,3,3,0,0,33.33
Rohit Sharma,c,61,54,74,8,2,112.96
Shubman Gill,c,51,32,49,3,4,159.37
Virat Kohli,b,51,56,69,5,1,91.07
Shreyas Iyer,not,128,94,145,10,5,136.17
KL Rahul,c,102,64,98,11,4,159.37
Suryakumar Yadav,not,2,1,1,0,0,200
Devon Conway,c,35,39,48,6,0,89.74
Rachin Ravindra,c,108,94,170,15,1,114.89
Kane Williamson,c,95,79,111,10,2,120.25
Daryl Mitchell,b,29,18,32,4,1,161.11
Mark Chapman,b,39,27,42,7,0,144.44
Glenn Phillips,b,41,25,40,4,2,164
Mitchell Santner,not,26,17,27,0,2,152.94
Tom Latham,not,2,2,4,0,0,100
Rahmanullah Gurbaz,c,21,28,65,3,1,75
Ibrahim Zadran,c,22,28,31,4,0,78.57
Rahmat Shah,lbw,16,22,37,3,0,72.72
Hashmatullah Shahidi,lbw,80,88,128,8,1,90.9
Azmatullah Omarzai,b,62,69,82,2,4,89.85
Mohammad Nabi,lbw,19,27,52,1,0,70.37
Najibullah Zadran,c,2,8,6,0,0,25
Rashid Khan,c,16,12,18,1,1,133.33
Mujeeb Ur Rahman,not,10,12,22,2,0,83.33
Naveen-ul-Haq,not,9,8,8,1,0,112.5
Abdullah Shafique,lbw,58,75,89,5,2,77.33
Imam-ul-Haq,c,17,22,44,2,0,77.27
Babar Azam,c,74,92,121,4,1,80.43
Mohammad Rizwan,c,8,10,8,0,1,80
Saud Shakeel,c,25,34,35,3,0,73.52
Shadab Khan,c,40,38,75,1,1,105.26
Iftikhar Ahmed,c,40,27,40,2,4,148.14
Shaheen Shah Afridi,not,3,3,4,0,0,100
Rahmanullah Gurbaz,c,25,22,45,3,1,113.63
Ibrahim Zadran,c,15,30,52,3,0,50
Rahmat Shah,c,26,46,58,2,0,56.52
Hashmatullah Shahidi,c,2,7,5,0,0,28.57
Azmatullah Omarzai,not,97,107,173,7,3,90.65
Ikram Alikhil,c,12,14,16,1,1,85.71
Mohammad Nabi,c,2,3,7,0,0,66.66
Rashid Khan,c,14,30,42,0,0,46.66
Noor Ahmad,c,26,32,36,4,0,81.25
Mujeeb Ur Rahman,c,8,5,7,0,1,160
Naveen-ul-Haq,run,2,4,12,0,0,50
Vikramjit Singh,c,3,9,7,0,0,33.33
Max O'Dowd,c,0,3,11,0,0,0
Wesley Barresi,c,41,41,49,8,0,100
Colin Ackermann,c,15,33,50,1,0,45.45
Scott Edwards,c,68,89,122,6,0,76.4
Bas de Leede,c,17,32,49,2,0,53.12
Sybrand Engelbrecht,lbw,35,61,72,3,0,57.37
Logan van Beek,not,23,16,33,2,1,143.75
Shariz Ahmad,run,6,8,13,0,0,75
Aryan Dutt,c,9,6,7,0,1,150
Paul van Meekeren,lbw,0,2,6,0,0,0
Dawid Malan,c,31,39,61,5,0,79.48
Jonny Bairstow,c,59,61,81,7,1,96.72
Joe Root,c,60,72,115,4,0,83.33
Ben Stokes,b,84,76,85,11,2,110.52
Jos Buttler,run,27,18,39,3,1,150
Harry Brook,c,30,17,24,2,2,176.47
Moeen Ali,b,8,6,10,0,1,133.33
Chris Woakes,not,4,4,19,1,0,100
David Willey,c,15,5,5,2,1,300
Gus Atkinson,b,0,1,1,0,0,0
Adil Rashid,not,0,1,1,0,0,0
Pathum Nissanka,lbw,0,1,2,0,0,0
Dimuth Karunaratne,lbw,0,1,10,0,0,0
Kusal Mendis,b,1,10,21,0,0,10
Sadeera Samarawickrama,c,0,4,4,0,0,0
Charith Asalanka,c,1,24,42,0,0,4.16
Angelo Mathews,b,12,25,55,1,0,48
Dushan Hemantha,c,0,1,1,0,0,0
Dushmantha Chameera,c,0,6,10,0,0,0
Maheesh Theekshana,not,12,23,37,2,0,52.17
Kasun Rajitha,c,14,17,20,2,0,82.35
Dilshan Madushanka,c,5,6,4,1,0,83.33
Vikramjit Singh,c,52,67,97,4,1,77.61
Max O'Dowd,c,5,12,24,1,0,41.66
Colin Ackermann,b,17,21,24,3,0,80.95
Bas de Leede,b,67,68,92,6,2,98.52
Teja Nidamanuru,c,5,9,10,1,0,55.55
Scott Edwards,lbw,0,2,2,0,0,0
Saqib Zulfiqar,lbw,10,18,24,1,0,55.55
Roelof van der Merwe,run,4,7,18,0,0,57.14
Logan van Beek,not,28,28,36,3,1,100
Aryan Dutt,b,1,2,6,0,0,50
Paul van Meekeren,b,7,12,17,1,0,58.33
David Warner,c,7,3,6,1,0,233.33
Travis Head,c,137,120,166,15,4,114.16
Mitchell Marsh,c,15,15,15,1,1,100
Steven Smith,lbw,4,9,11,1,0,44.44
Marnus Labuschagne,not,58,110,133,4,0,52.72
Glenn Maxwell,not,2,1,1,0,0,200
Jonny Bairstow,b,14,23,53,2,0,60.86
Dawid Malan,b,16,17,25,2,1,94.11
Joe Root,lbw,0,1,2,0,0,0
Ben Stokes,b,0,10,14,0,0,0
Jos Buttler,b,10,23,33,1,0,43.47
Moeen Ali,c,15,31,55,0,0,48.38
Liam Livingstone,lbw,27,46,56,2,0,58.69
Chris Woakes,st,10,20,21,1,0,50
David Willey,not,16,17,29,0,2,94.11
Adil Rashid,b,13,20,19,2,0,65
Mark Wood,b,0,1,3,0,0,0
Pathum Nissanka,c,54,52,69,9,0,103.84
Kusal Perera,c,5,8,17,1,0,62.5
Kusal Mendis,c,11,17,22,2,0,64.7
Sadeera Samarawickrama,not,91,107,168,7,0,85.04
Charith Asalanka,b,44,66,70,2,1,66.66
Dhananjaya de Silva,b,30,37,57,1,2,81.08
Dushan Hemantha,not,4,3,7,1,0,133.33
Tanzid Hasan,c,12,17,30,1,0,70.58
Litton Das,lbw,22,44,78,3,1,50
Najmul Hossain Shanto,c,0,1,1,0,0,0
Shakib Al Hasan,c,1,4,4,0,0,25
Mushfiqur Rahim,c,8,17,24,1,0,47.05
Mahmudullah,c,111,111,150,11,4,100
Mehidy Hasan Miraz,c,11,19,26,1,0,57.89
Nasum Ahmed,c,19,19,27,3,0,100
Hasan Mahmud,c,15,25,32,2,0,60
Mustafizur Rahman,c,11,21,51,2,0,52.38
Shoriful Islam,not,6,4,4,1,0,150
Devon Conway,lbw,45,59,91,3,0,76.27
Rachin Ravindra,c,9,13,12,2,0,69.23
Kane Williamson,retired,78,107,158,8,1,72.89
Daryl Mitchell,not,89,67,103,6,4,132.83
Glenn Phillips,not,16,11,22,1,1,145.45
Rohit Sharma,c,86,63,91,6,6,136.5
Shubman Gill,c,16,11,11,4,0,145.45
Virat Kohli,c,16,18,31,3,0,88.88
Shreyas Iyer,not,53,62,80,3,2,85.48
KL Rahul,not,19,29,33,2,0,65.51
Devon Conway,c,45,42,54,9,0,107.14
Rachin Ravindra,c,42,34,61,3,3,123.52
Kane Williamson,b,14,15,26,2,0,93.33
Daryl Mitchell,c,43,31,45,5,2,138.7
Mark Chapman,run,7,6,13,1,0,116.66
Glenn Phillips,not,17,10,15,3,0,170
Tom Latham,not,2,2,3,0,0,100
Devon Conway,c,13,15,26,3,0,86.66
Rachin Ravindra,c,13,22,39,3,0,59.09
Kane Williamson,c,69,73,116,8,1,94.52
Daryl Mitchell,c,134,119,180,9,7,112.6
Tom Latham,lbw,0,2,1,0,0,0
Glenn Phillips,c,41,33,58,4,2,124.24
Mark Chapman,c,2,5,5,0,0,40
Mitchell Santner,c,9,10,20,0,0,90
Tim Southee,c,9,10,14,1,0,90
